time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,exchange_volume_fraction,bound_partition,bound_evap,bound_fcg,fix_gross,fix_gross_relative,fix_events,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative,led_rescale_retained,led_rescale_retained_relative,led_rescale_attempted,led_rescale_attempted_relative,led_rescale_events,led_empty_retained,led_empty_retained_relative,led_empty_attempted,led_empty_attempted_relative,led_empty_events,led_repair_retained,led_repair_retained_relative,led_repair_attempted,led_repair_attempted_relative,led_repair_events,led_repairnet_retained,led_repairnet_retained_relative,led_repairnet_attempted,led_repairnet_attempted_relative,led_repairnet_events,inc_left_retained,inc_left_retained_relative,inc_left_attempted,inc_left_attempted_relative,inc_left_events,inc_moved_retained,inc_moved_retained_relative,inc_moved_attempted,inc_moved_attempted_relative,inc_moved_events,inc_negative_retained,inc_negative_retained_relative,inc_negative_attempted,inc_negative_attempted_relative,inc_negative_events,led_fix_pbl_retained,led_fix_pbl_retained_relative,led_fix_pbl_attempted,led_fix_pbl_attempted_relative,led_fix_pbl_events,led_fix_pbl_inventory_fraction,led_fix_free_retained,led_fix_free_retained_relative,led_fix_free_attempted,led_fix_free_attempted_relative,led_fix_free_events,led_fix_free_inventory_fraction,led_fix_evap_retained,led_fix_evap_retained_relative,led_fix_evap_attempted,led_fix_evap_attempted_relative,led_fix_evap_events,led_fix_evap_inventory_fraction,led_fix_fcg_retained,led_fix_fcg_retained_relative,led_fix_fcg_attempted,led_fix_fcg_attempted_relative,led_fix_fcg_events,led_fix_fcg_inventory_fraction,led_inc_pbl_retained,led_inc_pbl_retained_relative,led_inc_pbl_attempted,led_inc_pbl_attempted_relative,led_inc_pbl_events,led_inc_pbl_inventory_fraction,led_inc_free_retained,led_inc_free_retained_relative,led_inc_free_attempted,led_inc_free_attempted_relative,led_inc_free_events,led_inc_free_inventory_fraction,led_inc_evap_retained,led_inc_evap_retained_relative,led_inc_evap_attempted,led_inc_evap_attempted_relative,led_inc_evap_events,led_inc_evap_inventory_fraction,led_inc_fcg_retained,led_inc_fcg_retained_relative,led_inc_fcg_attempted,led_inc_fcg_attempted_relative,led_inc_fcg_events,led_inc_fcg_inventory_fraction,ledger_cadence_step,void
0.0,1.6927559738976023e-16,5.541235145747802e-18,3.675875500810642e-16,1.2032975119021722e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0
21600.0,8.314211163854806e-13,2.726672090315592e-14,1.026778055088898e-12,3.36735140662626e-14,0.0,0.0,0.0,0.0,0.0,0.03650648750847629,0.0,0.1050866849855533,0.0,0.0,0.0,0.0,9.043524646069823e-14,2.9658527747913236e-15,1.983892816066089e-12,6.506239816546806e-14,0.03506707912326397,0.0011500360533296915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2112884313786297e-12,1.053152291567941e-13,1.9356774020468974e-12,6.348115827225144e-14,0.0,0.3804151015825609,0.012475834685666324,0.28534739926447333,0.00935805904234268,129600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25022105292579583,0.008206079301765288,0.19909985670761646,0.006529543353801351,54491.0,0.01692076110111254,0.3375440534684241,0.011069864978238345,0.20491611234905854,0.006720289314122953,129600.0,0.021493675274795565,0.0038718598487710075,0.00012697887964590335,0.004454143519358236,0.00014607505848893135,34513.0,0.0034326027996162936,0.00016767598486753892,5.498987446242857e-6,0.00010137509614378993,3.324628637170358e-6,73747.0,0.0061163035895481326,1.0,0
43200.0,1.0884074546499382e-12,3.604113533792071e-14,1.582740429641082e-12,5.241030074333684e-14,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.0,0.0,0.0,0.0,1.2125996341192794e-13,4.015359076905838e-15,2.9228525872045516e-12,9.67862956268635e-14,0.036943723675088046,0.0012233412580666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8736973023939186e-12,2.2761315506347614e-13,4.1676232266247465e-12,1.380051855640355e-13,0.0,0.6163730100215432,0.020410355495013476,0.6344496876667067,0.02100894013598219,259199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4395006548036628,0.014553467557770629,0.48417036570348576,0.016032644394687934,108981.0,0.028920869607700853,0.4708172061083316,0.015590472641727466,0.3069716638169908,0.010164949930532427,259199.0,0.031382850206798665,0.02359845740666591,0.0007814308819056669,0.033978584874140405,0.0011251547118756124,82896.0,0.011385146148247727,0.0010107455836535688,3.34694679065574e-5,0.0006318405147831243,2.092254091791778e-5,170846.0,0.017591340324772272,1.0,0
64800.0,2.332369386044438e-12,7.784198602082955e-14,2.938101110078045e-12,9.805806357557869e-14,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.0,0.0,0.0,0.0,2.351781950829025e-13,7.848987336047304e-15,5.916995746883185e-12,1.9747759637478505e-13,0.04809400419733837,0.001605120022932595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067874130559176e-11,3.563991348899017e-13,6.44545016585785e-12,2.151145717786835e-13,0.0,0.6964300385897267,0.02324310105112759,0.7296599374988708,0.02435213692762142,388799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506493865354112,0.016904049856955,0.5592775361705642,0.018665685809822054,163142.0,0.03260074254170586,0.5118697001888939,0.01708346640330621,0.34013570890270745,0.011351906458733223,388799.0,0.035480957748194826,0.035959534037760685,0.0012001364632169716,0.04643675951586958,0.0015498100801337102,132679.0,0.012079272365947788,0.001469384160612555,4.9040165753338184e-5,0.000907717000845264,3.029472711888876e-5,295259.0,0.020534200548919745,1.0,0
86400.0,2.578794562960101e-12,8.764096282965287e-14,3.265892926540523e-12,1.1099216846960317e-13,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.0,0.0,0.0,0.0,2.327939899679579e-13,7.91156058524079e-15,6.815789904569007e-12,2.316362839680369e-13,0.06623134733569937,0.002250888509452649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4399159541992854e-11,4.893589525601781e-13,8.705428771652164e-12,2.958561222173487e-13,0.0,0.833148339838835,0.028314749740897475,0.8675628449672702,0.029484335099918862,518399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6177818116942397,0.020995465700603066,0.6693549878452054,0.022748192683579825,217527.0,0.03967203885645105,0.5661709374228154,0.019241457537798604,0.38264104832041673,0.013004149448203993,518399.0,0.04087194394412996,0.06286258674600294,0.0021364003583357613,0.07275644239798185,0.002472645458233023,184359.0,0.017345011346165184,0.0020764728829616675,7.056943789408839e-5,0.0012922544377948662,4.391758256975436e-5,421338.0,0.024647678137787853,1.0,0
108000.0,3.259858350916246e-12,1.1166663178970295e-13,4.024597955227197e-12,1.378628300955563e-13,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.0,0.0,0.0,0.0,1.9402979988730196e-13,6.6465017457446475e-15,8.75026116452456e-12,2.9974069003583095e-13,0.09081374752438316,0.0031108300467712216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7991295488003877e-11,6.162928423297894e-13,1.0831879978886615e-11,3.7104666000368297e-13,0.0,0.9200159269172165,0.03151519750017709,0.9466716157795467,0.03242828962654328,647999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6882698239033347,0.023576721662208203,0.7312897059431277,0.025050370149426612,271920.0,0.04351791999466442,0.5982900705353004,0.020494460132331464,0.4070360394498608,0.013943042503552754,647999.0,0.04472530995897953,0.08207405769144951,0.0028114514782956596,0.0892841093586243,0.003058432205073817,236161.0,0.018460086402243534,0.002650040747418699,9.077729536516173e-5,0.0016397593507836538,5.61700491054205e-5,550231.0,0.02519442382710588,1.0,0
129600.0,3.731789633597222e-12,1.2965996621871288e-13,4.465101135464952e-12,1.551386651528516e-13,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.05839727332894789,0.0,0.0,0.0,1.5164264676437425e-13,5.2687805013896245e-15,1.0237064380052354e-11,3.556838814670545e-13,0.1105716537436275,0.003841780565569078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1459594833869393e-11,7.456075005344434e-13,1.2896563911496252e-11,4.48087433988128e-13,0.0,1.0127763795089537,0.03518862638236657,1.0510252463923981,0.03651757235063942,777599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7636241480186394,0.0265319031770955,0.8128641953138535,0.028242734573224074,326353.0,0.04816389158155141,0.6368254607223839,0.02212631895996969,0.4390396242282545,0.015254306495095423,777599.0,0.04926452471966132,0.10678187175381143,0.0037101056714775337,0.11575527894309118,0.004021884144345853,287972.0,0.021046707830518336,0.0035819803700869192,0.0001244548860954605,0.0021962282485753037,7.630732395929898e-5,679431.0,0.0312365101860565,1.0,0
151200.0,3.96830370995824e-12,1.3948610196551898e-13,4.577051841333426e-12,1.6088363353832591e-13,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.0,0.0,0.0,0.0,1.867538808672797e-13,6.564409574735873e-15,1.1310714375431889e-11,3.975722560536971e-13,0.11236774205125602,0.00394973254846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5013980508707384e-11,8.792428429924229e-13,1.5025029761572655e-11,5.281306539361967e-13,0.0,1.098306725149674,0.03860554409411744,1.1340629058799125,0.039862375888196036,907199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8304735151509598,0.02919119147138785,0.8770038284159777,0.030826734639186396,380914.0,0.05212409960107089,0.6697455080319089,0.02354159284478512,0.4646406012967195,0.01633214366308578,907199.0,0.05350757624241773,0.13062864497411006,0.004591604328759413,0.1385063212179746,0.004868505098487695,339809.0,0.022842576202748655,0.004419337870475564,0.0001553399784583829,0.0027012588536919862,9.494940292896744e-5,808853.0,0.03273996609357894,1.0,0
172800.0,4.351917846412191e-12,1.5553122481176708e-13,4.911900397101938e-12,1.7554418807434256e-13,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.05839727332894789,0.0,0.0,0.0,1.2317252885008958e-13,4.402007333619753e-15,1.2869810983871089e-11,4.599483574965944e-13,0.12560014676156267,0.004488766872855466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.850349653909486e-11,1.0186735790056776e-12,1.7122894405571338e-11,6.119473834775202e-13,0.0,1.1799724717947733,0.04217050281261837,1.230393865096675,0.04397249019696796,1.036799e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893173995484068,0.03192074170292124,0.950319431556084,0.03396303661251163,435714.0,0.05631120991394896,0.7035194054055581,0.025142762033474503,0.49499522967110093,0.017690410771471272,1.036799e6,0.05804805953020804,0.1572484969476692,0.005619832954853065,0.1691061581077342,0.006043608547296349,391778.0,0.025222414733183998,0.005587968064915992,0.000199705864866436,0.0034560895163601385,0.0001235156210455008,938145.0,0.04082891352791942,1.0,0
194400.0,4.211031081251699e-12,1.529615833702519e-13,4.74879533988689e-12,1.7249534384212142e-13,0.0,0.0,0.0,0.0,0.0,0.05027262711049585,0.0,0.0,0.0,0.0,0.0,0.0,-9.717710807813339e-14,-3.529863359392506e-15,1.3051749521756829e-11,4.740920297378646e-13,0.13138552020596136,0.0047724504556861174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1944390077551985e-11,1.1603487107501728e-12,1.9174541272488743e-11,6.964964486954864e-13,0.0,1.2820620901035094,0.04656965087584111,1.3155469619896536,0.047785956080867574,1.166399e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703355003764143,0.035246487540487106,1.014989459726975,0.03686849891827594,490238.0,0.0615407853039575,0.7357456203893641,0.026725239705196725,0.5194444917685422,0.018868312867036486,1.166399e6,0.06254938822436025,0.19028058024687258,0.006911755880586012,0.19698227298530407,0.007155188311444893,443878.0,0.028396655030876922,0.006421375262414227,0.00023325017284400756,0.003990728797019794,0.00014495931846980403,1.067613e6,0.04230159189411522,1.0,0
