time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,30.548351213656375,30.548351213656385,-1.0658141036401503e-14,-3.488941501902359e-16,5.368631474708244e-16,1.7574210264769525e-17,30.548351213656375,0.0
21600.0,30.492156329998956,30.49215632999916,-2.0250467969162855e-13,-6.641205610388378e-15,1.85819917147438e-12,6.094023496941857e-14,30.492156329998956,0.0
43200.0,30.199033533351802,30.19903353335231,-5.080380560684716e-13,-1.6822990560522228e-14,2.6711478842910202e-12,8.845143608125756e-14,30.199033533351802,0.0
64800.0,29.962871006661175,29.962871006661782,-6.075140390748857e-13,-2.0275561675642718e-14,5.270470496122481e-12,1.7590004959640818e-13,29.962871006661175,0.0
86400.0,29.424534825940764,29.42453482594145,-6.856737400084967e-13,-2.3302789460039467e-14,5.844687489500623e-12,1.9863313129925602e-13,29.424534825940764,0.0
108000.0,29.192770469296498,29.19277046929725,-7.531752999057062e-13,-2.5800062405788396e-14,7.284456306143446e-12,2.495294618852594e-13,29.192770469296498,0.0
129600.0,28.781355899031848,28.78135589903258,-7.318590178329032e-13,-2.5428232790711628e-14,8.196890769062177e-12,2.847986313715646e-13,28.781355899031848,0.0
151200.0,28.44945592457094,28.44945592457156,-6.181721801112872e-13,-2.1728787423923646e-14,8.545355551291666e-12,3.0036973550384487e-13,28.44945592457094,0.0
172800.0,27.980991287628157,27.980991287628715,-5.577760475716786e-13,-1.9934106044995634e-14,9.263818243514131e-12,3.3107541288610974e-13,27.980991287628157,0.0
194400.0,27.5299914427446,27.529991442745136,-5.364597654988756e-13,-1.948637603518969e-14,8.959826421138582e-12,3.2545692721237306e-13,27.5299914427446,0.0
216000.0,27.222916457541398,27.222916457541658,-2.5934809855243657e-13,-9.526830049856431e-15,1.0045684561396568e-11,3.690157363214357e-13,27.222916457541398,0.0
237600.0,26.76023776241936,26.760237762419358,3.552713678800501e-15,1.3276091604050472e-16,1.0519451440921043e-11,3.931000738601058e-13,26.76023776241936,0.0
259200.0,26.455820789385502,26.455820789385292,2.0961010704922955e-13,7.923024151015132e-15,1.207615296660255e-11,4.564648763967927e-13,26.455820789385502,0.0
280800.0,25.854245527421533,25.854245527421213,3.197442310920451e-13,1.2367184753193355e-14,1.2415117683877085e-11,4.801964795572689e-13,25.854245527421533,0.0
302400.0,25.60538780062704,25.60538780062658,4.583000645652646e-13,1.7898579319858672e-14,1.2474610341687343e-11,4.871869326416473e-13,25.60538780062704,0.0
324000.0,25.19111235614063,25.19111235614018,4.476419235288631e-13,1.7769835535656495e-14,1.2652847296006534e-11,5.022742591564145e-13,25.19111235614063,0.0
345600.0,24.851589091725522,24.85158909172522,3.019806626980426e-13,1.2151362296529712e-14,1.3044058759263631e-11,5.248782567230972e-13,24.851589091725522,0.0
367200.0,24.43043153139908,24.430431531398874,2.0605739337042905e-13,8.434455736305554e-15,1.4093275483327319e-11,5.768737840432336e-13,24.43043153139908,0.0
388800.0,23.95364276957457,23.95364276957455,2.1316282072803006e-14,8.898973019618758e-16,1.4176148533937965e-11,5.918159784842504e-13,23.95364276957457,0.0
410400.0,23.551825827008937,23.551825827009033,-9.592326932761353e-14,-4.07285915037678e-15,1.3698102375562172e-11,5.816153055893171e-13,23.551825827008937,0.0
432000.0,23.27586677236904,23.27586677236933,-2.913225216616411e-13,-1.2516076179275622e-14,1.4126069376956431e-11,6.068976728173061e-13,23.27586677236904,0.0
453600.0,23.02951883065569,23.029518830656095,-4.050093593832571e-13,-1.7586531545076393e-14,1.498259361203264e-11,6.505821386111026e-13,23.02951883065569,0.0
475200.0,22.648193367499008,22.64819336749984,-8.313350008393172e-13,-3.6706459864137044e-14,1.5356300141847154e-11,6.780364284545544e-13,22.648193367499008,0.0
496800.0,22.27222950159787,22.272229501598954,-1.0835776720341528e-12,-4.865151339951907e-14,1.5239664086014832e-11,6.842451082376597e-13,22.27222950159787,0.0
518400.0,21.98404773659682,21.98404773659832,-1.4992451724538114e-12,-6.819695764934223e-14,1.6128074420696137e-11,7.336262463553401e-13,21.98404773659682,0.0
540000.0,21.61758347108712,21.617583471088942,-1.822542117224657e-12,-8.430831871944676e-14,1.6427184219191923e-11,7.598991923016186e-13,21.61758347108712,0.0
561600.0,21.337517119698443,21.337517119700536,-2.092548356813495e-12,-9.80689714306867e-14,1.7801889752301546e-11,8.342999634136033e-13,21.337517119698443,0.0
583200.0,21.038928682687956,21.03892868269033,-2.3732127374387346e-12,-1.1280102581418753e-13,1.8479815885357366e-11,8.783629700956981e-13,21.038928682687956,0.0
